"","artist_name","avg_duration"
"1","Motion City Soundtrack",172.551385
"2","Gene Chandler",106.55302
"3","Paul Horn",527.59465
"4","Ronnie Earl & the Broadcasters",695.11791
"5","Dorothy Ashby",230.229755
"6","Barleyjuice",192.93995
"7","Vertigo Angels",239.5424
"8","Wir Sind Helden",222.85016
"9","Simon & Garfunkel",177.97179
"10","Rabia Sorda",253.308935
"11","The Telescopes",476.42077
"12","Building 429",279.862405
"13","Coheed and Cambria",344.249886666667
"14","In Case Of Fire",176.61342
"15","Cascada",237.45261
"16","Deep Puddle Dynamics",218.38322
"17","Madlib",107.78077
"18","Seeed's Pharaoh Riddim Feat. General Degree",195.97016
"19","Mastodon",197.36771
"20","Keali'i Reichel",245.73342
"21","Little Feat",263.170155
"22","The Nolans",203.49342
"23","Angela Ro Ro",270.197095
"24","Joan Baez",261.40689
"25","Transvision Vamp",262.24281
"26","Rise Against",184.946485
"27","Larry Norman",138.148115
"28","31Knots",212.45342
"29","Bleep",372.21832
"30","Lucio Battisti",235.819955
"31","Nacho Cano",120.215055
"32","The Freelance Hellraiser",241.55383
"33","Sun Yan-Zi",241.52771
"34","Ray Brown Trio / Ralph Moore",284.94322
"35","Mark Knopfler",245.001995
"36","iio",437.850975
"37","Tom Lehrer",141.644173333333
"38","John Zorn",266.39628
"39","Coph Nia",637.77914
"40","Retard-O-Bot",150.62159
"41","The Meeting Places",176.5873
"42","Deep Forest",280.154103333333
"43","Steely Dan",323.952746666667
"44","Billy Cobham",494.662946666667
"45","Daphne Loves Derby",268.5122
"46","Azaxx",331.33669
"47","Justin Faust",451.39546
"48","Division of Laura Lee",238.8371
"49","Warbringer",245.57669
"50","Captain Capa",277.99465
"51","SOiL",216.08444
"52","Kary Ng",209.21424
"53","The Undecided",148.910565
"54","Kid Abelha",266.762
"55","Run Level Zero",276.68853
"56","Clannad",318.75873
"57","Tehosekoitin",283.55873
"58","Ornatos Violeta",270.79356
"59","Tally Hall",182.80444
"60","Aaron Lines",219.402
"61","Old Blind Dogs",268.61669
"62","Mary Chapin Carpenter",250.80118
"63","Stampin´ Ground",223.55546
"64","DJ Muggs & Planet Asia",196.46649
"65","The Monitors",137.03791
"66","Fatal Flying Guilloteens",120.63302
"67","Markus Schulz",344.724445
"68","Falling Sickness",182.85669
"69","Los Piratas",143.707846666667
"70","10 Years",351.58159
"71","Goldfish",172.61669
"72","Brenda Holloway",172.96934
"73","The Wild Swans",204.32934
"74","Stoneface & Terminal",483.56526
"75","Special Needs",219.29751
"76","John Carpenter",25.91302
"77","Riva Starr",321.09669
"78","Joshua Redman",435.06893
"79","Malcolm X",221.67465
"80","Ladyhawk",321.74975
"81","Bob Marley & The Wailers",211.47383
"82","Tripswitch",527.80363
"83","Robin Thicke",244.5971
