"","artist_name","avg_duration"
"1","John Starlight",0.60036
"2","Dokaka",7.41832
"3","Eisregen",7.47057
"4","National Health",8.25424
"5","Kapanga",9.06404
"6","King Britt",11.38893
"7","Ólafur Arnalds",12.30322
"8","Tower Of Power",15.96036
"9","Four Bitchin' Babes",16.09098
"10","Psychopomps",17.21424
"11","Cattle Decapitation",17.997915
"12","Del Tha Funkee Homosapien",21.26322
"13","Electro Hippies",22.43873
"14","Suicide Commando",22.80444
"15","Legs on Earth",23.69261
"16","A.C.T",23.74485
"17","The Gerbils",24.92036
"18","John Carpenter",25.91302
"19","Marian McPartland / Oscar Peterson",26.53995
"20","The Locust",26.67057
"21","The Letter Black",26.93179
"22","Flow Dynamics",27.89832
"23","Attack Formation",28.52526
"24","Anal Cunt",28.76036
"25","Jack Dangers",29.09995
"26","Alec Empire",29.51791
"27","Henrik Schwarz",29.77914
"28","DJ Vix",30.30159
"29","Harry Gregson-Williams",31.29424
"30","Babylon Circus",31.39873
"31","SJ Esau",32.07791
"32","Langston Hughes",32.60036
"33","Micro Audio Waves",33.88036
"34","Raymond Scott",34.01098
"35","Les Fils de Teuhpu",35.29098
"36","Bride",37.79873
"37","Dj Cam",37.90322
"38","Kurt Elling",38.922
"39","Ex-Girl",39.00036
"40","temposhark",39.28771
"41","Good Clean Fun",39.41832
"42","Crosby_ Stills_ Nash and Young",39.60118
"43","1349",39.70567
"44","Red Aunts",40.59383
"45","Zebda",40.69832
"46","Kris Kross",40.9073
"47","Ashley Hutchings",41.42975
"48","Locust",41.9522
"49","Spongebob Squarepants",42.70975
"50","A Global Threat",42.73587
"51","Shape Of Broad Minds",43.62404
"52","Hatiras",43.67628
"53","Trio Elétrico",43.7024
"54","Dwele",43.83302
"55","Fragments Of Unbecoming",44.06812
"56","Gescom",44.23356
"57","Lull",44.2771
"58","Stuck Mojo",44.43383
"59","Heiner Goebbels",46.31465
"60","Brotha Lynch Hung",47.01995
"61","Burnt By The Sun",47.20281
"62","Regurgitate",47.241995
"63","Gustavo Santaolalla",47.3073
"64","Dr. Ring-Ding & The Senior Allstars",47.46404
"65","SUTCLIFFE JÜGEND",47.72526
"66","Popol Vuh",48.77016
"67","Ajattara",48.77016
"68","Mau Mau",48.84853
"69","The Focus Group",49.89342
"70","Floex",51.48689
"71","Japanische Kampfhörspiele",52.45342
"72","Karkkiautomaatti",52.81914
"73","Trivium",53.7073
"74","ASP",54.72608
"75","Mateo Messina",54.77832
"76","Kryptic Minds",54.93506
"77","Greenleaf",54.9873
"78","Eddie Izzard",56.084445
"79","Aloha",56.37179
"80","The Whitest Kids U' Know",56.45016
"81","For Real",56.5024
"82","Bill Wells & Maher Shalal Hash Baz",57.05098
"83","Don McGlashan",57.99138
"84","Vassar Clements",59.01016
"85","Samae Koskinen",59.24526
"86","O'Death",59.27138
"87","Hazard",59.34975
"88","Mr Gelatine",59.84608
"89","The Red Chord",59.84608
"90","Supermachiner",60.49914
"91","Silkk The Shocker",60.83873
"92","Farm Fresh",61.02159
"93","The Gift of Gab",61.02159
"94","Jeff Rona",61.77914
