artist_name,avg_duration
John Starlight,0.60036
Dokaka,7.41832
Eisregen,7.47057
National Health,8.25424
Kapanga,9.06404
King Britt,11.38893
Ólafur Arnalds,12.30322
Tower Of Power,15.96036
Four Bitchin' Babes,16.09098
Psychopomps,17.21424
Cattle Decapitation,17.997915
Del Tha Funkee Homosapien,21.26322
Electro Hippies,22.43873
Suicide Commando,22.80444
Legs on Earth,23.69261
A.C.T,23.74485
The Gerbils,24.92036
John Carpenter,25.91302
Marian McPartland / Oscar Peterson,26.53995
The Locust,26.67057
The Letter Black,26.93179
Flow Dynamics,27.89832
Attack Formation,28.52526
Anal Cunt,28.76036
Jack Dangers,29.09995
Alec Empire,29.51791
Henrik Schwarz,29.77914
DJ Vix,30.30159
Harry Gregson-Williams,31.29424
Babylon Circus,31.39873
SJ Esau,32.07791
Langston Hughes,32.60036
Micro Audio Waves,33.88036
Raymond Scott,34.010980000000004
Les Fils de Teuhpu,35.29098
Bride,37.79873
Dj Cam,37.90322
Kurt Elling,38.922
Ex-Girl,39.00036
temposhark,39.28771
Good Clean Fun,39.41832
Crosby_ Stills_ Nash and Young,39.60118
1349,39.70567
Red Aunts,40.59383
Zebda,40.69832
Kris Kross,40.9073
Ashley Hutchings,41.42975
Locust,41.9522
Spongebob Squarepants,42.70975
A Global Threat,42.73587
Shape Of Broad Minds,43.62404
Hatiras,43.67628
Trio Elétrico,43.7024
Dwele,43.83302
Fragments Of Unbecoming,44.06812
Gescom,44.23356
Lull,44.2771
Stuck Mojo,44.43383
Heiner Goebbels,46.31465
Brotha Lynch Hung,47.01995
Burnt By The Sun,47.20281
Regurgitate,47.241995
Gustavo Santaolalla,47.3073
Dr. Ring-Ding & The Senior Allstars,47.46404
SUTCLIFFE JÜGEND,47.72526
Popol Vuh,48.77016
Ajattara,48.77016
Mau Mau,48.84853
The Focus Group,49.89342
Floex,51.48689
Japanische Kampfhörspiele,52.453419999999994
Karkkiautomaatti,52.81914
Trivium,53.7073
ASP,54.72608
Mateo Messina,54.77832
Kryptic Minds,54.93506
Greenleaf,54.9873
Eddie Izzard,56.084445
Aloha,56.37179
The Whitest Kids U' Know,56.45016
For Real,56.5024
Bill Wells & Maher Shalal Hash Baz,57.05098
Don McGlashan,57.99138
Vassar Clements,59.01016
Samae Koskinen,59.24526
O'Death,59.27138
Hazard,59.34975
Mr Gelatine,59.84608
The Red Chord,59.84608
Supermachiner,60.49914
Silkk The Shocker,60.83873
Farm Fresh,61.02159
The Gift of Gab,61.02159
Jeff Rona,61.77914
Townsend_ Devin,63.18975
Porno para Ricardo,63.97342
The Dandy Warhols,64.02567
Duo Live,64.07791
Time of Orchids,64.28689
Metabass 'N' Breath,64.80934
Factums,65.30567
Chip Taylor,65.43628
Theodore Shapiro,66.089340000000007
Count Bass D,67.26485
Dann Huff,67.57832
Can,67.60444
Cause For Alarm,68.04853
Ace Troubleshooter,68.49261
Future Of Forestry,68.67546
Tone Depth,70.03383
Andy Summers,70.3473
Debbie Reynolds & Female Cast,70.45179
Eyehategod,70.50404
Tyler Bates,70.53016
Ten Years After,70.84363
Duesenjaeger,71.00036
Loic Lantoine,71.60118
Mr Oizo,71.60118
Capitol Punishment,71.70567
A Sunny Day In Glasgow,71.88853
Cul De Sac,71.94077
Leng Tch'e,72.07138
+44,72.33261
Extreme Noise Terror,72.77669
Flop,72.82893
Jimmy Shubert,72.9073
Pastor Lopez,73.06404
Diamanda Galas,73.19465
Cloak/Dagger,73.87383
Latte E Miele,73.92608
Lullatone,74.08281
Mika Miko,74.68363
Madball,75.310565
Orquestra,75.72853
Channels 3x4,75.78077
Herman Brood,75.91138
Paint it Black,75.9897525
Allan Sherman,76.01587
Boyracer,76.133425
Sound Team,76.14649
The Wilde Flowers,76.17261
Biosphere,76.48608
Sebadoh,76.512200000000007
Otomo Yoshihide,76.642815
Kid Dynamite,76.79955
Nero's Day At Disneyland,76.85179
Thuja,77.00853
New Flesh For Old,77.322
Merauder,77.45261
Chatham County Line,77.63546
David Peel and The Lower East Side,77.73995
Jono El Grande,78.28853
SkinnyMan,78.602
Brad Paisley,79.41179
Cab Calloway,79.82975
New Fast Automatic Daffodils,80.32608
Differnet,80.45669
FDEL,80.77016
Stendeck,81.34485
Paul Haslinger,81.42322
Monty Python,81.60608
J-Live,81.906485
Meryn Cadell,82.1024
The Fine Arts Showcase,82.18077
Austrian Death Machine,82.20689
Sixtoo,82.36363
David Essex,82.70322
Stephin Merritt,83.04281
Harrie Jekkers,83.12118
Tunnel Rats,83.93098
Bumblefoot,83.9571
Chali 2na,84.03546
Harry Pussy,84.20090666666667
Fröbelin Palikat,84.47955
Crimson Spectre,84.74077
She Keeps Bees,84.92363
Pepper,85.18485
Vitamin X,85.289345
Steve Jablonsky,85.45478333333334
Homelife,85.68118
